MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_CARULLA,USERS_CARULLA,ORDERS_CARULLA,TOTAL_PRICE_USD_CARULLA,SOLD_UNITS_CARULLA,AVG_TICKET_CARULLA,MDOWN_AVG_CARULLA,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FRQUENCY_TURBO,AOV_CARULLA,BASKET_SIZE_CARULLA,FRQUENCY_CARULLA
2022-10-01,Bogotá,CERVEZAS,49,34234,60307,529458.33,128359,4.220936221,0.141355391,45,4107,5182,53651.65,13138,4.238499329,0.1845701333,0.995856291,8.77938432,2.128426,1.761611,10.35346391,2.535315,1.261748
2022-10-01,Cali y Bucaramanga,CERVEZAS,33,5092,9250,70279.22,16853,4.195815723,0.1457609383,28,503,592,5888.48,1401,4.212545793,0.1883842614,0.9960285131,7.59775351,1.821946,1.816575,9.94675676,2.366554,1.176938
2022-10-01,Costa,CERVEZAS,31,2322,4180,37072.72,9247,4.061894876,0.1413091507,30,769,969,9813.93,2456,4.092252407,0.1560867532,0.992581706,8.86907177,2.212201,1.800172,10.12789474,2.534572,1.260078
2022-10-01,Costa,CERVEZAS,31,5188,9493,80755.29,18970,4.283250776,0.1516546026,29,502,616,6495.21,1537,4.311161511,0.2121429756,0.9935259361,8.50682503,1.998315,1.8298,10.54417208,2.49513,1.227092
2022-10-01,Medellín,CERVEZAS,52,17033,30613,221536.06,53286,4.217663223,0.1375886988,47,1755,2085,17108.13,4101,4.266166677,0.1566095679,0.9886306707,7.23666612,1.740633,1.797276,8.20533813,1.966906,1.188034
2022-11-01,Bogotá,CERVEZAS,35,508,889,9137.27,2199,4.362579876,0.1688761085,28,218,318,3842.36,917,4.395667768,0.1247953222,0.9924726129,10.27814398,2.473566,1.75,12.08289308,2.883648,1.458716
2022-11-01,Bogotá,CERVEZAS,55,35364,63270,636363.87,150372,4.414558999,0.1302772588,48,3798,4843,50216.69,11583,4.557533203,0.1325595274,0.9686290373,10.05790849,2.376671,1.789108,10.36892216,2.391699,1.275145
2022-11-01,Cali y Bucaramanga,CERVEZAS,33,4879,8508,64253.84,14973,4.339820168,0.1231252897,28,369,448,4524.61,986,4.765673049,0.1425135824,0.9106416079,7.55216737,1.759873,1.7438,10.09957589,2.200893,1.214092
2022-11-01,Costa,CERVEZAS,32,2402,4153,39213.56,9023,4.524534487,0.1213733975,29,534,648,6333.66,1524,4.351918005,0.1165606931,1.039664461,9.4422249,2.172646,1.728976,9.77416667,2.351852,1.213483
2022-11-01,Costa,CERVEZAS,33,5086,8931,79047.3,17823,4.521884753,0.1315289033,31,444,534,5962.36,1373,4.536883788,0.1774614436,0.9966939785,8.85089016,1.995633,1.755997,11.16546816,2.571161,1.202703
2022-11-01,Expansión - Centro,CERVEZAS,1,4,5,34.32,8,4.29,0,1,5,13,118.1,24,5.043846154,0.04611194525,0.8505414061,6.864,1.6,1.25,9.08461538,1.846154,2.6
2022-11-01,Medellín,CERVEZAS,46,17195,29777,224360.94,52451,4.331159586,0.1019304703,42,1716,2065,20076.4,4320,4.824809841,0.1398088159,0.8976850339,7.53470598,1.76146,1.731724,9.7222276,2.09201,1.20338
2022-12-01,Bogotá,CERVEZAS,51,43230,81970,927623.44,194184,4.890517603,0.1876449511,46,4965,6138,67138.15,15474,4.499536062,0.138030742,1.086893745,11.3166212,2.368964,1.896137,10.93811502,2.521017,1.236254
2022-12-01,Bogotá,CERVEZAS,35,671,1188,14776.81,3115,4.897214565,0.2225131697,33,360,486,5905.29,1370,4.450420549,0.1541225025,1.100393662,12.43839226,2.622054,1.770492,12.15080247,2.81893,1.35
2022-12-01,Cali y Bucaramanga,CERVEZAS,35,7633,13931,131372.17,29031,4.567496224,0.196098745,33,650,764,7671.19,1795,4.429972896,0.1355407425,1.03104383,9.43020386,2.083914,1.825102,10.04082461,2.349476,1.175385
2022-12-01,Costa,CERVEZAS,32,7895,15108,162346.76,32054,5.146583917,0.1946528551,31,635,811,9677.31,2350,4.312559401,0.1836629545,1.193394325,10.74574795,2.121657,1.913616,11.93256473,2.897657,1.277165
2022-12-01,Costa,CERVEZAS,30,3353,6140,69740.59,14230,5.045831843,0.188383919,28,893,1222,14542.57,3550,4.227007577,0.1297468336,1.193712514,11.35840228,2.31759,1.831196,11.90063011,2.905074,1.368421
2022-12-01,Expansión - Centro,CERVEZAS,16,122,138,946.43,241,4.028880795,0,14,246,425,6598.92,1561,4.58346966,0.1856579258,0.8790023921,6.85818841,1.746377,1.131148,15.52687059,3.672941,1.727642
2022-12-01,Medellín,CERVEZAS,43,22905,42339,394335.6,82122,4.874917377,0.1760277376,38,2137,2589,27405.73,6356,4.530919161,0.1615500855,1.075922391,9.31376745,1.93963,1.848461,10.58544998,2.455002,1.211511
2023-01-01,Bogotá,CERVEZAS,33,258,364,3848.74,805,4.93530344,0.1936238245,25,90,108,1407.66,313,4.574934669,0.1827609697,1.078770255,10.57346154,2.211538,1.410853,13.03388889,2.898148,1.2
2023-01-01,Bogotá,CERVEZAS,48,17018,24510,261953.81,55484,4.819632822,0.1868010351,43,1197,1418,14964.19,3170,4.808174476,0.1514989569,1.002383097,10.68762995,2.263729,1.44024,10.55302539,2.235543,1.184628
2023-01-01,Cali y Bucaramanga,CERVEZAS,34,2720,3945,33768.55,7304,4.671939932,0.1827659473,28,168,204,2184.03,505,4.404063814,0.1644748324,1.060824759,8.55983523,1.851458,1.450368,10.70602941,2.47549,1.214286
2023-01-01,Costa,CERVEZAS,34,3083,4526,45409.4,9342,4.973163905,0.1837610531,26,155,176,2315.19,504,4.663726252,0.2014574346,1.066349875,10.03300928,2.064074,1.468051,13.15448864,2.863636,1.135484
2023-01-01,Costa,CERVEZAS,26,1755,2493,26964.68,5617,4.907111984,0.1787545359,22,326,376,4201.63,921,4.690629547,0.1270313387,1.046152107,10.81615724,2.253109,1.420513,11.17454787,2.449468,1.153374
2023-01-01,Expansión - Centro,CERVEZAS,18,80,90,632.72,147,4.426131667,0.02854573231,14,95,107,1025.05,210,4.929207454,0.1496346499,0.8979398227,7.03022222,1.633333,1.125,9.57990654,1.962617,1.126316
2023-01-01,Medellín,CERVEZAS,42,9602,13687,116011.59,24497,4.814908357,0.1675753647,34,457,490,4512.51,965,4.731888404,0.1360625963,1.017544782,8.47604223,1.789801,1.425432,9.20920408,1.969388,1.07221
2023-02-01,Bogotá,CERVEZAS,40,508,869,8245.89,1764,4.770498428,0.148942139,33,168,228,2657.4,590,4.588505859,0.1364250172,1.039662708,9.48894131,2.029919,1.71063,11.65526316,2.587719,1.357143
